timestamp,event_type,severity,message
2026-08-21 00:47:48,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-21 00:47:48,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 00:47:55,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 00:47:58,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:08:06,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:08:07,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.0s
2026-08-21 01:08:08,EYE_CLOSURE,HIGH,Eyes closed for 1.5s
2026-08-21 01:08:08,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-21 01:08:08,INTERVENTION,HIGH,Intervention changed from NORMAL to HIGH
2026-08-21 01:08:09,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
2026-08-21 01:08:11,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-21 01:08:11,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:10:26,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-21 01:32:21,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:37:05,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:37:06,GAZE_AWAY,MODERATE,Prolonged gaze away for 1.1s
2026-08-21 01:37:07,EYE_CLOSURE,HIGH,Eyes closed for 1.5s
2026-08-21 01:37:07,MICROSLEEP,CRITICAL,Microsleep detected
2026-08-21 01:37:07,INTERVENTION,HIGH,Intervention changed from NORMAL to HIGH
2026-08-21 01:37:08,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
2026-08-21 01:37:10,INTERVENTION,NORMAL,Intervention changed from HIGH to NORMAL
2026-08-21 01:37:10,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:39:13,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:39:15,YAWNING,MODERATE,Yawning detected
2026-08-21 01:39:17,RISK_TRANSITION,LOW,Risk changed from NORMAL to LOW
2026-08-21 01:39:19,RISK_TRANSITION,LOW,Risk changed from MODERATE to LOW
