timestamp,ear,mar,perclos,eyes_closed,blink_count,blink_duration,microsleep,microsleep_duration,pitch,yaw,roll,gaze_direction,gaze_away_duration,reliability,fatigue_risk,risk_level,temporal_state,intervention_level,intervention_action,alert_triggered,eye_closure_duration
2026-08-12T00:42:22.191701,0.42173711741965686,0.022940615692701512,0.0,False,0,0.0,False,0.0,-13.439028602687074,4.1009678237186336,3.9447341337698276,CENTER,0.0,0.8240648731827479,0.02450463901374575,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.270741,0.42955337578658803,0.007516428274679322,0.0,False,0,0.0,False,0.0,-11.151694759205668,-2.875436055760076,5.504460809793443,CENTER,0.0,0.8528356481481482,0.021985394097505318,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.304682,0.4308240186692328,0.0133841814626604,0.0,False,0,0.0,False,0.0,-11.509843113344033,-0.7664178921494624,4.283806380913887,CENTER,0.0,0.8676476951747134,0.018675620315412516,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.335548,0.4041670779897737,0.008207810273516844,0.0,False,0,0.0,False,0.0,-11.344957447372792,-0.5679717746802453,4.026686769614457,CENTER,0.0,0.881774787808642,0.017607090159805095,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.368105,0.35646652423558245,0.005363941848464524,0.0,False,0,0.0,False,0.0,-10.892619201352744,-2.0063106019753434,3.6193800880382696,CENTER,0.0,0.8947175564236112,0.0174474207416912,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.398758,0.38317220685551645,0.00560593897030064,0.0,False,0,0.0,False,0.0,-10.640381683083746,-1.9697091726595488,3.2203408512772285,CENTER,0.0,0.907845066627474,0.016338418336621047,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.431909,0.3667392072249977,0.014801666899405179,0.0,False,0,0.0,False,0.0,-10.419430167351976,3.7648380643688597,1.8087410822747927,CENTER,0.0,0.9226542635765725,0.015686499709214718,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.470928,0.37951163683392397,0.01033579944210986,0.0,False,0,0.0,False,0.0,-9.83096537015004,3.8181879747242533,1.6605415463215536,CENTER,0.0,0.9379964577362581,0.01464351245038388,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.505730,0.36875479441945747,0.010426504897004349,0.0,False,0,0.0,False,0.0,-9.92152725271086,4.207765705257572,1.160479076033596,CENTER,0.0,0.9531699813911547,0.01422251405409092,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.540377,0.3668927674396118,0.006804415873912705,0.0,False,0,0.0,False,0.0,-10.351565281985927,5.905792720453093,0.8257997505874357,CENTER,0.0,0.9682354106959143,0.015273052126458249,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.566230,0.3780614118204954,0.0062773883590664,0.0,False,0,0.0,False,0.0,-9.599684335214135,9.075177793996176,0.2882977448866768,CENTER,0.0,0.9683200353958455,0.016337454872988048,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.602319,0.36238224693955245,0.007087121937154675,0.0,False,0,0.0,False,0.0,-10.40315361359444,4.896138768224148,0.644200339932695,CENTER,0.0,0.9670447699270036,0.01440476922508568,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.629954,0.37108936912555585,0.008078594733371405,0.0,False,0,0.0,False,0.0,-9.16954076290142,7.067122452935024,0.4982678960415967,CENTER,0.0,0.9669954109408682,0.01464814487220534,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.657637,0.3939844191228708,0.005816481783414768,0.0,False,0,0.0,False,0.0,-8.9659771751231,9.661014305936305,-0.029889599994731952,CENTER,0.0,0.9684621523184891,0.015894396082460915,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.687809,0.3963871931552841,0.0040369235047310595,0.0,False,0,0.0,False,0.0,-8.995962828127688,7.178581779203341,0.5751571801768023,CENTER,0.0,0.9685055512688614,0.014635330657572334,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.717229,0.4223977420186915,0.0062876492194882784,0.0,False,0,0.0,False,0.0,-8.960554325402143,7.0349840656778895,0.24809654983059204,CENTER,0.0,0.9679032363009504,0.014175214996867282,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.746121,0.39896572527635715,0.006022655879361017,0.0,False,0,0.0,False,0.0,-9.087069070387173,8.660036884361858,0.06089612097187569,CENTER,0.0,0.9678683349561533,0.015308559704170109,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.779373,0.40122874612815185,0.008117932381916592,0.0,False,0,0.0,False,0.0,-8.940320533414734,11.042486459790553,-0.506795729622155,CENTER,0.0,0.9668640298905056,0.017349951400364154,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.800846,0.43474003188176824,0.011654840671089729,0.0,False,0,0.0,False,0.0,-7.46615139787761,10.146442156247133,-0.552805826754792,CENTER,0.0,0.9660700958688517,0.015294659360405808,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.829052,0.43510907545114497,0.010170809064242413,0.0,False,0,0.0,False,0.0,-8.115431348506036,10.997347827310051,-0.5303543776184085,CENTER,0.0,0.9663639854926025,0.016532622384514504,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.853930,0.427779805434809,0.008665200473744653,0.0,False,0,0.0,False,0.0,-8.134889031628234,8.944154385811714,-0.7270254656682482,CENTER,0.0,0.9667097716723007,0.015237157010427467,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.880394,0.44791797298784086,0.005434113025471333,0.0,False,0,0.0,False,0.0,-7.350835933700182,12.10882393944118,-1.1992277271217517,CENTER,0.0,0.9661914958112875,0.01725473208372754,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.906511,0.44697549111534185,0.007928024312712705,0.0,False,0,0.0,False,0.0,-7.6671721108028805,13.399538153097808,-1.6563578267754053,CENTER,0.0,0.9659194423010974,0.018959002271997996,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
2026-08-12T00:42:22.940622,0.4274938633689702,0.0051123221445306625,0.0,False,0,0.0,False,0.0,-7.334267463978762,13.294774703193326,-2.0210172063066807,CENTER,0.0,0.9654489248052615,0.018913185341000126,NORMAL,STABLE,NORMAL,NO_ACTION,False,0.0
